2025-05-14 14:33:11,835 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from /ws/external/wandb/settings
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_VIGOR.py', 'program': '/ws/external/train_VIGOR.py'}
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_init.py:_log_setup():428] Logging user logs to /ws/external/wandb/run-20250514_143311-2esl7av1/logs/debug.log
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_init.py:_log_setup():429] Logging internal logs to /ws/external/wandb/run-20250514_143311-2esl7av1/logs/debug-internal.log
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_init.py:init():462] calling init triggers
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2025-05-14 14:33:11,836 INFO    MainThread:1 [wandb_init.py:init():515] starting backend
2025-05-14 14:33:11,836 INFO    MainThread:1 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-14 14:33:11,847 INFO    MainThread:1 [backend.py:ensure_launched():217] starting backend process...
2025-05-14 14:33:11,851 INFO    MainThread:1 [backend.py:ensure_launched():222] started backend process with pid: 38
2025-05-14 14:33:11,851 INFO    MainThread:1 [wandb_init.py:init():525] backend started and connected
2025-05-14 14:33:11,855 INFO    MainThread:1 [wandb_init.py:init():596] updated telemetry
2025-05-14 14:33:11,863 INFO    MainThread:1 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2025-05-14 14:33:12,528 INFO    MainThread:1 [wandb_run.py:_on_init():1924] communicating current version
2025-05-14 14:33:12,600 INFO    MainThread:1 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.19.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-05-14 14:33:12,600 INFO    MainThread:1 [wandb_init.py:init():662] starting run threads in backend
2025-05-14 14:33:12,691 INFO    MainThread:1 [wandb_run.py:_console_start():1898] atexit reg
2025-05-14 14:33:12,691 INFO    MainThread:1 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2025-05-14 14:33:12,691 INFO    MainThread:1 [wandb_run.py:_redirect():1776] Redirecting console.
2025-05-14 14:33:12,692 INFO    MainThread:1 [wandb_run.py:_redirect():1832] Redirects installed.
2025-05-14 14:33:12,692 INFO    MainThread:1 [wandb_init.py:init():688] run started, returning control to user process
